CLUSTERID1	CLUSTERID2	DeltaMZ	MinRatio	Cosine	AlignScore2	AlignScore3	MatchedPeaks
1	9	12.036	0.000	0.7758	0.6866	1	730
1	23	92.105	0.000	0.7056	0.7457	1	813
1	37	-182.004	0.000	0.7257	0.5462	1	1005
1	46	-52.031	0.000	0.7540	0.5412	1	522
1	49	-34.006	0.000	0.8054	0.6865	1	726
1	52	-153.101	0.000	0.7415	0.5993	1	989
1	67	-13.992	0.000	0.7018	0.6534	1	954
1	72	-5.949	0.000	0.7352	0.7676	1	928
1	78	-89.997	0.000	0.7702	0.6798	1	721
1	91	-32.028	0.000	0.7907	0.7531	1	923
1	95	-45.971	0.000	0.8075	0.7827	1	947
1	98	-74.039	0.000	0.7669	0.6375	1	1022
1	105	26.051	0.000	0.7147	0.5037	1	475
1	109	82.066	0.000	0.7500	0.6398	1	1048
1	110	-2.018	0.000	0.8000	0.7610	1	922
1	112	53.049	0.000	0.7198	0.7529	1	829
1	117	-14.940	0.000	0.7049	0.7232	1	803
1	143	-153.104	0.000	0.7392	0.5851	1	993
1	168	-122.004	0.000	0.7347	0.5584	1	1005
1	169	-182.018	0.000	0.7629	0.7451	1	827
1	188	-169.914	0.000	0.7217	0.6934	1	753
1	191	4.993	0.000	0.7822	0.7001	1	983
1	202	-47.985	0.000	0.7854	0.6593	1	693
1	215	-92.010	0.000	0.7848	0.6143	1	1024
1	219	-62.036	0.000	0.7638	0.5722	1	567
1	232	-108.827	0.000	0.7190	0.6695	1	710
1	246	-34.003	0.000	0.7171	0.4792	1	443
1	247	-44.983	0.000	0.7182	0.6397	1	668
1	258	-80.975	0.000	0.7141	0.7069	1	783
1	267	-63.994	0.000	0.8001	0.7135	1	957
1	270	-47.920	0.000	0.7003	0.7247	1	873
1	274	-87.927	0.000	0.7061	0.6918	1	923
1	277	-5.946	0.000	0.7339	0.7643	1	936
1	280	6.107	0.000	0.7079	0.6834	1	731
1	283	57.085	0.000	0.7271	0.6269	1	1057
1	303	-60.019	0.000	0.7973	0.7287	1	928
1	305	-120.040	0.000	0.7742	0.6059	1	1016
1	312	-57.005	0.000	0.7432	0.7377	1	897
