spectrum_id,scan,Precursor_MZ,Charge,Smiles,INCHI,InChIKey_smiles,InChIKey_inchi
CCMSLIB00000084736,1,313.218,1,CC[C@@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@H]34)[C@@H]2CC[C@@]1(O)C#C,N/A,WWYNJERNGUHSAO-XUDSTZEESA-N,
CCMSLIB00000084737,2,173.109,1,C1Cc2c(CN1)[nH]c3ccccc23,N/A,CFTOTSJVQRFXOF-UHFFFAOYSA-N,
CCMSLIB00000084738,3,255.11,1,Cn1c(=O)n(C)c2ncn(CC(O)CO)c2c1=O,N/A,KSCFJBIXMNOVSH-UHFFFAOYSA-N,
CCMSLIB00000084739,4,245.204,1,Cc1cc(cc(C)c1CC2=NCCN2)C(C)(C)C.Cl,N/A,YGWFCQYETHJKNX-UHFFFAOYSA-N,
CCMSLIB00000084740,5,305.201,1,CCCn1c(=O)n(CCC)c2[nH]c(nc2c1=O)C3CCCC3,N/A,FFBDFADSZUINTG-UHFFFAOYSA-N,
CCMSLIB00000084741,6,373.202,1,C[C@@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]2CC[C@@H]1OC(=O)CCC(=O)O,N/A,YJPIDPAGJSWWBE-FNIAAEIWSA-N,
CCMSLIB00000084742,7,241.1,1,CCOC(=O)c1cc2c(c[nH]1)nc3ccccc32,N/A,QWWODAPIEHJFQG-UHFFFAOYSA-N,
CCMSLIB00000084743,8,408.176,1,CN1CCN(CCCN2c3ccccc3Sc4ccc(cc24)C(F)(F)F)CC1.Cl,N/A,RIULCFSTKRDHBX-UHFFFAOYSA-N,
CCMSLIB00000084744,9,301.182,1,C[C@@]12CC(=O)[C@H]3[C@@H](CCC4=CC(=O)CC[C@]34C)[C@@H]2CCC1=O,N/A,RZRPTBIGEANTGU-IRIMSJTPSA-N,
CCMSLIB00000084745,10,278.189,1,CCN(CC)CCNC(=O)c1ccc(NC(=O)C)cc1.Cl,N/A,IYEWBJUCJHKLHD-UHFFFAOYSA-N,
CCMSLIB00000084746,11,249.071,1,Nc1ccc(cc1)S(=O)(=O)c2ccc(N)cc2,N/A,MQJKPEGWNLWLTK-UHFFFAOYSA-N,
CCMSLIB00000084747,12,294.162,1,Cc1nccn1CC2CCc3c(C2=O)c4ccccc4n3C.O.Cl,N/A,WRZJOBREMUDSSV-UHFFFAOYSA-N,
CCMSLIB00000084748,13,285.078,1,COc1ccc(cc1)c2coc3cc(O)cc(O)c3c2=O,N/A,WUADCCWRTIWANL-UHFFFAOYSA-N,
CCMSLIB00000084749,14,319.106,1,CN(C)CCCN1c2ccccc2Sc3ccc(Cl)cc13.Cl,N/A,FBSMERQALIEGJT-UHFFFAOYSA-N,
CCMSLIB00000084750,15,315.15,1,CN/C(=C/[N+](=O)[O-])/NCCSCc1ccc(CN(C)C)o1.Cl,N/A,GGWBHVILAJZWKJ-CHHCPSLASA-N,
CCMSLIB00000084751,16,180.177,1,C[C@@]1(C[C@@H]2C[C@]3(C)C1)C[C@](N)(C2)C3.Cl,N/A,LDDHMLJTFXJGPI-VXMZOEJHSA-N,
CCMSLIB00000084752,17,299.177,1,C[N+]1(C)C2CCC1CC(C2)OC(=O)c3c[nH]c4ccccc34.[I-],N/A,FAVUCMGCKDICCE-UHFFFAOYSA-N,
CCMSLIB00000084753,18,310.129,1,CN1CCC(=C2c3ccsc3C(=O)Cc4ccccc24)CC1.[O-]C(=O)/C=C\C(=O)[O-],N/A,YNQQEYBLVYAWNX-BTJKTKAUSA-L,
CCMSLIB00000084754,19,407.223,1,CCC[C@@H]1C[C@H](N(C)C1)C(=O)N[C@H]([C@@H](C)O)[C@H]2O[C@H](SC)[C@H](O)[C@@H](O)[C@@H]2O.Cl,N/A,POUMFISTNHIPTI-DKEHCADZSA-N,
CCMSLIB00000084755,20,327.139,1,CN1CCN(CC1)C2=Nc3cc(Cl)ccc3Nc4ccccc24,N/A,QZUDBNBUXVUHMW-UHFFFAOYSA-N,
CCMSLIB00000084756,21,205.099,1,C1CN=C(N1)C2COc3ccccc3O2.Cl,N/A,MYUBYOVCLMEAOH-UHFFFAOYSA-N,
CCMSLIB00000084757,22,233.092,1,CCn1cc(C(=O)O)c(=O)c2ccc(C)nc12,N/A,MHWLWQUZZRMNGJ-UHFFFAOYSA-N,
CCMSLIB00000084758,23,221.113,1,CN1CCCN=C1/C=C/c2sccc2C.OC(C(O)C(=O)O)C(=O)O,N/A,GGXQONWGCAQGNA-FXRZFVDSSA-N,
CCMSLIB00000084759,24,272.204,1,COc1ccc2C[C@H]3[C@H]4CCCC[C@@]4(CCN3C)c2c1.O.Br,N/A,STTADZBLEUMJRG-IKNOHUQMSA-N,
CCMSLIB00000084760,25,295.183,1,CC[C@]1(CCCN2CCc3c4[C@@H]21)CC(=O)n4c5ccccc35,N/A,WYJAPUKIYAZSEM-MOPGFXCFSA-N,
CCMSLIB00000084761,26,281.072,1,COc1cnc(NS(=O)(=O)c2ccc(N)cc2)nc1,N/A,GPTONYMQFTZPKC-UHFFFAOYSA-N,
CCMSLIB00000084762,27,304.181,1,CCc1cccc(c1)N(C)C(=N)Nc2cccc3ccccc23.Cl,N/A,CKAKVKWRMCAYJD-UHFFFAOYSA-N,
CCMSLIB00000084763,28,311.083,1,COc1cc(NS(=O)(=O)c2ccc(N)cc2)nc(OC)n1,N/A,ZZORFUFYDOWNEF-UHFFFAOYSA-N,
CCMSLIB00000084764,29,413.211,2,CC[C@]1(O)C[C@@H]2CN(C1)CCc3c([nH]c4ccccc34)[C@@](C2)(C(=O)OC)c5cc6c(cc5OC)N(C=O)[C@@H]7[C@@]86CCN9CC=C[C@](CC)([C@H]98)[C@@H](OC(=O)C)[C@]7(O)C(=O)OC.OS(=O)(=O)O,N/A,AQTQHPDCURKLKT-PNYVAJAMSA-N,
CCMSLIB00000084765,30,825.408,1,CC[C@]1(O)C[C@@H]2CN(C1)CCc3c([nH]c4ccccc34)[C@@](C2)(C(=O)OC)c5cc6c(cc5OC)N(C=O)[C@@H]7[C@@]86CCN9CC=C[C@](CC)([C@H]98)[C@@H](OC(=O)C)[C@]7(O)C(=O)OC.OS(=O)(=O)O,N/A,AQTQHPDCURKLKT-PNYVAJAMSA-N,
CCMSLIB00000084766,31,511.062,1,CNC(=O)[C@H]1O[C@H]([C@H](O)[C@@H]1O)n2cnc3c(NCc4cccc(I)c4)ncnc23,N/A,HUJXGQILHAUCCV-MOROJQBDSA-N,
CCMSLIB00000084767,32,345.116,1,Clc1ccccc1C(c2ccccc2)(c3ccccc3)n4ccnc4,N/A,VNFPBHJOKIVQEB-UHFFFAOYSA-N,
CCMSLIB00000084768,33,317.065,1,CN(C)C/C=C(/c1ccc(Br)cc1)\c2cccnc2.Cl,N/A,GELMUARXROJGSO-LFMIJCLESA-N,
CCMSLIB00000084769,34,293.182,1,S=C(NC1CCCCC1)N2CCC(CC2)c3c[nH]cn3.OC(=O)/C=C\C(=O)O,N/A,WUYMIKDBRCCYGE-BTJKTKAUSA-N,
CCMSLIB00000084770,35,362.154,1,C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc4c(=O)c(cn1c24)C(=O)O,N/A,GSDSWSVVBLHKDQ-JTQLQIEISA-N,
CCMSLIB00000084771,36,368.2,1,CCOC(=O)Nc1ccc2CCc3ccccc3N(C(=O)CN(C)C)c2c1.Cl,N/A,XJWABFCDXKZWPV-UHFFFAOYSA-N,
CCMSLIB00000084772,37,495.222,1,CC(=O)OCC(=O)[C@]12OC(C)(C)O[C@@H]2CC3C4C[C@H](F)C5=CC(=O)C=CC5(C)[C@@]4(F)C(O)CC31C,N/A,WJOHZNCJWYWUJD-RHWWYLHMSA-N,
CCMSLIB00000084773,38,332.203,1,CC(C)N(CCC(=O)c1ccc2ccccc2c1)Cc3ccccc3.Cl,N/A,NJTUORMLOPXPBY-UHFFFAOYSA-N,
CCMSLIB00000084774,39,216.09,1,C(Nc1[nH]cnc2ncnc12)c3ccco3,N/A,QANMHLXAZMSUEX-UHFFFAOYSA-N,
CCMSLIB00000084775,40,369.152,1,CN([C@H]1CCCC[C@@H]1N2CCCC2)C(=O)Cc3ccc(Cl)c(Cl)c3.Cl,N/A,KGMMGVIYOHGOKQ-APTPAJQOSA-N,
CCMSLIB00000084776,41,414.158,1,COc1ccc2C(OC(=O)c2c1OC)C3N(C)CCc4cc5OCOc5c(OC)c34.O.Cl,N/A,ZYGSNVAGWKWKKI-UHFFFAOYSA-N,
CCMSLIB00000084777,42,420.098,1,OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)n2cnc3c(SCc4ccc(cc4)[N+](=O)[O-])ncnc23,N/A,DYCJFJRCWPVDHY-LSCFUAHRSA-N,
CCMSLIB00000084778,43,307.109,1,Oc1ccc(/C=C(\C#N)/C(=O)N2CCc3ccccc23)cc1O,N/A,MYKCTDWWIWGLHW-NTEUORMPSA-N,
CCMSLIB00000084779,44,346.162,1,CCS(=O)(=O)Nc1cccc(c1)C(=C2CCCCC2)c3c[nH]cn3,N/A,MTZVJHSZYMWIAG-UHFFFAOYSA-N,
CCMSLIB00000084780,45,276.161,1,CO[C@H]1CC=C2CCN3CCC4=C(CC(=O)OC4)[C@@]32C1.Br,N/A,GFIGWAJEIMHJJB-LINSIKMZSA-N,
CCMSLIB00000084781,46,365.249,1,C[C@@]12CC[C@H]3[C@@H](CCc4cc(OC5CCCC5)ccc34)[C@@H]2CC[C@@]1(O)C#C,N/A,PWZUUYSISTUNDW-VAFBSOEGSA-N,
CCMSLIB00000084782,47,247.183,1,CN1CCCCC1C(=O)Nc2c(C)cccc2C.Cl,N/A,RETIMRUQNCDCQB-UHFFFAOYSA-N,
CCMSLIB00000084783,48,372.161,1,Clc1cccc(c1)N2CCN(CCCn3nc4ccccn4c3=O)CC2.Cl,N/A,OHHDIOKRWWOXMT-UHFFFAOYSA-N,
CCMSLIB00000084784,49,347.224,1,CC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,N/A,LCZBQMKVFQNSJR-UJPCIWJBSA-N,
